Tool Name,Masterformat,Material Category,Material Subcategory,Category OpenEPD Name,Category L2,Category L3,Category L4,Country,Regions Applicable,Datapoint Type,Plant Admin District,Plant Admin District 2,Plant Name,Plant Address,Manufacturer,Category Declared Unit,Quantity Unit (EC3),Default Unit,Quantity Unit,Product Name,Product Description,Index,Expiry Date,Published Date,Image URL,Density (kg/m2),Density (kg/m3),Category Description,Category Mass per Declared Unit,Concrete Aggregate Size Unit,Concrete Air Entrainment,Concrete Compressive Strength Unit,Plant Type,Reviewer Name,Stored Carbon,Use Stored Carbon,Concrete Aggregate Size (mm),Concrete Compressive Strength,Concrete Slump (in),EC3 Uncertainty Factor (%),GWP Fossil + Biogenic (kgCO2e),GWP per Default Unit,AP per Default Unit,EP per Default Unit,SFP per Default Unit,ODP per Default Unit,NRE per Default Unit,GWPbio per Default Unit
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,US,,Industry-Wide EPD,,,,,Concrete Reinforcing Steel Institute,1 t,,kg,kg,Fabricated steel reinforcement,"Steel reinforcement is used as reinforcement in concrete or masonry structures. Fabricated reinforcement is reinforcing steel that has been cut, bent, or modified according to job specifications set by the design professional.",ec3z96ry,46649,44824,https://cqddatastore.blob.core.windows.net/cqd/images/94c239c11646442595f07e1cb2cebc35.png,-,-,Reinforcing bar used together with concrete.,1000 kg,,,,,,,FALSE,,,,0.163,0.854,0.854,0.00217,0.000117,0.0491,1.09E-12,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,,,,1 t,,kg,kg,Carbon Steel Reinforcing Bar (Secondary production route - Scrap)," Reinforcing steel bar (according to product standardslisted in Sources of Additional Information) thatis
 obtained from scrap, melted in an Electric Arc Furnace (EAF) followed byhotrolling.",ec30nhca,44896,43801,https://cqddatastore.blob.core.windows.net/cqd/images/d2489eff20394a07a5a1d182414700e0.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,,,,FALSE,,,,0.152,0.665,0.665,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,,,,1 t,,kg,kg,"Declared Unit Fabricated Carbon-Steel and Low-Alloy Uncoated Rebar,",,ec3daf3c,44371,44371,,,,Reinforcing bar used together with concrete.,1000 kg,,,,,,,FALSE,,,,,,,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,,,,1 t,,kg,kg,ENVIRONMENTAL PRODUCT DECLARATION,"Steel reinforcement is used as reinforcement in concrete or masonry structures. Fabricated reinforcementis reinforcing
steel that has been cut, bent, or modified according to job specifications set by the design professional.
Fabricated steel rebar is defined by the following standards.
    e      CSA G30.18-09 (R2014) Standard Specifications for Carbon Steel Bars for Concrete Reinforcement",ec3ptfu6,46649,44824,https://cqddatastore.blob.core.windows.net/cqd/images/68a7d2f30bdb4721adc94f91c8909a79.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,,,,FALSE,,,,0.152,0.854,0.854,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,"Åminnefors, Espoo, and Pälkäne",,Celsa Steel UK,1 t,,kg,kg,Steel reinforcement products for concrete,"From bars, coils, wire rod, cut and bent reinforcement, mesh, BAMTEC® (Åminnefors) to an extensive production of prefabricated reinforcement elements (special welded products).",ec31qgr8,45556,44461,https://cqddatastore.blob.core.windows.net/cqd/images/f0bad0fe0c534f1ca3722bd1ba732ed5.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.15,0.442,0.442,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,Asociación Sostenibilidad Siderúrgica Plant(s),,Asociación Sostenibilidad Siderúrgica,1 t,,kg,kg,Hot-rolled non-alloy construction steel,"EPD for hot-rolled non-alloy construction steel long products from electric furnaces, specifically rebars and bars. The declaration covers the environmental impact of steel production for construction purposes, detailing the life cycle assessment, material composition, and adherence to relevant standards.",ec3sk77n,45868,44043,https://cqddatastore.blob.core.windows.net/cqd/images/cf47a654c4944f898be706ddf4b349c7.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.152,0.57762,0.57762,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,"Auburn, Birmingham, Connecticut, Jackson, Texas, Kankakee, Kingman, Marion, Utah",,Nucor,1 t,,kg,kg,Fabricated Concrete Reinforcing Bar and Merchant Bar (Average),"Fabricated rebar assemblies are used in building and road/bridge projects where they are embedded in concrete.
These products are rolled round deformed bars which are further detailed, cut, bent and/or tied into assemblies to
prepare for installation. Additionally, MBQ shapes are angles, flats, rounds, channels and others used in a variety of
building, industrial and equipment products. For use in the construction market, they are detailed, cut, drilled, bolted,
welded and otherwise processed at the fabricator to be prepared for installation.
Steel bar produced by Nucor’s bar mill are defined by the following ASTM standards:
    -   ASTM A36/A36M-14 Standard Specification for Carbon Structural Steel
    -   ASTM A529/A529-14 Standard Specification for High-Strength Carbon-Manganese Steel of Structural Quality
        [Grades 50, 55]
    -   ASTM A709/A709M-16a Standard Specification for Structural Steel for Bridges [Grades 36, 50]
    -   ASTM A572/A572M-15 Standard Specification for High-Strength Low-Alloy Columbium-Vanadium Structural
        Steel [Grades 50, 55]
    -   ASTM A615/A615M-16 Standard Specification for Deformed and Plain Carbon Steel Bars for Concrete
        Reinforcement [Grades 40, 60, 75, 80, 100]
    -   ASTM A706/A706M-16 Standard Specification for Deformed and Plain Low-Alloy Steel Bars for Concrete
        Reinforcement [Grades 60, 80]
    -   ASTM F1554-15e1 Standard Specification for Anchor Bolts, Steel, 36, 55, and 105-ksi Yield Strength [Grade
        55]",ec3enaq1,44736,44197,https://cqddatastore.blob.core.windows.net/cqd/images/9591227c82ef404b97bd8bdc4eadab62.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.15,0.8629,0.8629,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,"Auburn, Birmingham, Connecticut, Jackson, Texas, Kankakee, Kingman, Marion, Utah",,Nucor,1 t,,kg,kg,Steel Concrete Reinforcing Bar and Merchant Bar Products,"Steel reinforcing bar (steel rebar) assemblies are used in building and road/bridge projects where they are embedded in
concrete. These products are rolled round deformed bars which are further detailed, cut, bent and/or tied into assemblies to
prepare for installation. Additionally, merchant bar quality (MBQ) steel shapes are angles, flats, rounds, channels and others
used in a variety of building, industrial and equipment products. For use in the construction market, they are detailed, cut, drilled,
bolted, welded and otherwise processed at the fabricator to be prepared for installation.",ec3ne006,46562,44736,https://cqddatastore.blob.core.windows.net/cqd/images/5c06e841ecf649d291796c5aac539d52.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.152,0.79286,0.79286,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,"Auburn, Birmingham, Connecticut, Jackson, Texas, Kankakee, Kingman, Marion, Utah",,Nucor,1 t,,kg,kg,Steel Concrete Reinforcing Bar and Merchant Bar Products,"Steel reinforcing bar (steel rebar) assemblies are used in building and road/bridge projects where they are embedded in
concrete. These products are rolled round deformed bars which are further detailed, cut, bent and/or tied into assemblies to
prepare for installation. Additionally, merchant bar quality (MBQ) steel shapes are angles, flats, rounds, channels and others
used in a variety of building, industrial and equipment products. For use in the construction market, they are detailed, cut, drilled,
bolted, welded and otherwise processed at the fabricator to be prepared for installation.",ec34dq8h,46562,44736,https://cqddatastore.blob.core.windows.net/cqd/images/c6a01d53e407442e88f5bf17bb11e930.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.158,0.75563,0.75563,,,,,,
EC3,03 21 00 Reinforcement Bars,Steel,Reinforcing Bar,Steel >> RebarSteel,RebarSteel,,,,,Product-Specific EPD,,,Australia Plants,,ARC,1 t,,kg,kg,Steel reinforcing bar,"Reinforcing bar is a hot rolled deformed bar of normal ductility grade 500 steel that meets AS/NZS 4671 Steel Reinforcing Materials. It is produced in both straight lengths and coils in sizes from 10mm to 40mm diameter. The required strength is achieved through either quenching and self-tempering, the addition of alloying elements, or mechanical stressing (continuous stretching).",ec3sfh62,45921,42688,https://cqddatastore.blob.core.windows.net/cqd/images/3a73d96ec6d0443d9b1d1b39808a8267.png,,,Reinforcing bar used together with concrete.,1000 kg,,,,PlantGroup,,,FALSE,,,,0.152,1.67,1.67,,,,,,
